Created_at,Fakultas,Tahun,Tahun Data,Anggaran,Serapan
18/09/2023 10:29,FEB,2019-01-01,01/01/2019 00:00,158375444164,158375444164
18/09/2023 10:29,FF,2019-01-01,01/01/2019 00:00,52418040347,52376354284
18/09/2023 10:29,FH,2019-01-01,01/01/2019 00:00,64689531418,64611813272
18/09/2023 10:29,FIB,2019-01-01,01/01/2019 00:00,45736902183,45694803840
18/09/2023 10:29,FISIP,2019-01-01,01/01/2019 00:00,84218729182,84099463732
18/09/2023 10:29,FK,2019-01-01,01/01/2019 00:00,195577754760,195555604232
18/09/2023 10:29,FKG,2019-01-01,01/01/2019 00:00,77944949123,77908911164
18/09/2023 10:29,FKH,2019-01-01,01/01/2019 00:00,55927306821,55763630312
18/09/2023 10:29,FKM,2019-01-01,01/01/2019 00:00,74470023796,74277727528
18/09/2023 10:29,FKp,2019-01-01,01/01/2019 00:00,34576892381,34564878256
18/09/2023 10:29,FPK,2019-01-01,01/01/2019 00:00,27295590947,27288962296
18/09/2023 10:29,FPsi,2019-01-01,01/01/2019 00:00,43118574321,43054574196
18/09/2023 10:29,FST,2019-01-01,01/01/2019 00:00,75778516473,75626908232
18/09/2023 10:29,ftmm,2019-01-01,01/01/2019 00:00,0,0
18/09/2023 10:29,PPS,2019-01-01,01/01/2019 00:00,20222110860,20190284172
18/09/2023 10:29,SIKIA,2019-01-01,01/01/2019 00:00,31024478537,30953603420
18/09/2023 10:29,Vokasi,2019-01-01,01/01/2019 00:00,63928968629,63785726716
18/09/2023 10:29,Vokasi Kp Gresik,2019-01-01,01/01/2019 00:00,4153243623,4145083600
18/09/2023 10:29,Vokasi Kp Lamongan,2019-01-01,01/01/2019 00:00,4424234053,4419211780
18/09/2023 10:29,FEB,2020-01-01,01/01/2020 00:00,129500691075,129210969832
18/09/2023 10:29,FF,2020-01-01,01/01/2020 00:00,54432649155,54381114764
18/09/2023 10:29,FH,2020-01-01,01/01/2020 00:00,47017526503,46925060532
18/09/2023 10:29,FIB,2020-01-01,01/01/2020 00:00,34805674784,34797952604
18/09/2023 10:29,FISIP,2020-01-01,01/01/2020 00:00,62987938328,62948673272
18/09/2023 10:29,FK,2020-01-01,01/01/2020 00:00,183185498480,182890871372
18/09/2023 10:29,FKG,2020-01-01,01/01/2020 00:00,80622546790,80391212376
18/09/2023 10:29,FKH,2020-01-01,01/01/2020 00:00,42387161460,42362223044
18/09/2023 10:29,FKM,2020-01-01,01/01/2020 00:00,69298854296,69265585060
18/09/2023 10:29,FKp,2020-01-01,01/01/2020 00:00,32821101645,32755629700
18/09/2023 10:29,FPK,2020-01-01,01/01/2020 00:00,21709669094,21657899856
18/09/2023 10:29,FPsi,2020-01-01,01/01/2020 00:00,35706906648,35651655824
18/09/2023 10:29,FST,2020-01-01,01/01/2020 00:00,74289908481,74098460200
18/09/2023 10:29,ftmm,2020-01-01,01/01/2020 00:00,12189741394,12166159304
18/09/2023 10:29,PPS,2020-01-01,01/01/2020 00:00,16768355667,16721537440
18/09/2023 10:29,SIKIA,2020-01-01,01/01/2020 00:00,24670191433,24641117944
18/09/2023 10:29,Vokasi,2020-01-01,01/01/2020 00:00,61917772295,61819163024
18/09/2023 10:29,Vokasi Kp Gresik,2020-01-01,01/01/2020 00:00,3231680896,3227405988
18/09/2023 10:29,Vokasi Kp Lamongan,2020-01-01,01/01/2020 00:00,2815839084,2809449116
18/09/2023 10:29,FEB,2021-01-01,01/01/2021 00:00,121053932903,120938458128
18/09/2023 10:29,FF,2021-01-01,01/01/2021 00:00,50388982519,50359100196
18/09/2023 10:29,FH,2021-01-01,01/01/2021 00:00,44514348925,44407731760
18/09/2023 10:29,FIB,2021-01-01,01/01/2021 00:00,28459975038,28402440064
18/09/2023 10:29,FISIP,2021-01-01,01/01/2021 00:00,60523464095,60522730576
18/09/2023 10:29,FK,2021-01-01,01/01/2021 00:00,175843627478,175520712192
18/09/2023 10:29,FKG,2021-01-01,01/01/2021 00:00,80153015850,80008801684
18/09/2023 10:29,FKH,2021-01-01,01/01/2021 00:00,38490599136,38477813284
18/09/2023 10:29,FKM,2021-01-01,01/01/2021 00:00,49854254500,49854254500
18/09/2023 10:29,FKp,2021-01-01,01/01/2021 00:00,21682719403,21664557272
18/09/2023 10:29,FPK,2021-01-01,01/01/2021 00:00,18953494634,18924500900
18/09/2023 10:29,FPsi,2021-01-01,01/01/2021 00:00,31034518688,31008173584
18/09/2023 10:29,FST,2021-01-01,01/01/2021 00:00,64473586268,64376309220
18/09/2023 10:29,ftmm,2021-01-01,01/01/2021 00:00,18367507966,18358800712
18/09/2023 10:29,PPS,2021-01-01,01/01/2021 00:00,19002729565,18987126656
18/09/2023 10:29,SIKIA,2021-01-01,01/01/2021 00:00,30696201116,30618283972
18/09/2023 10:29,Vokasi,2021-01-01,01/01/2021 00:00,53855309982,53745636688
18/09/2023 10:29,Vokasi Kp Gresik,2021-01-01,01/01/2021 00:00,6546473373,6533478544
18/09/2023 10:29,Vokasi Kp Lamongan,2021-01-01,01/01/2021 00:00,1337040670,1335733338
18/09/2023 10:30,FEB,2022-01-01,01/01/2022 00:00,213560703950,212964024752
18/09/2023 10:30,FF,2022-01-01,01/01/2022 00:00,86190395455,86162509412
18/09/2023 10:30,FH,2022-01-01,01/01/2022 00:00,72375498849,72370596704
18/09/2023 10:30,FIB,2022-01-01,01/01/2022 00:00,51393347007,51298024364
18/09/2023 10:30,FISIP,2022-01-01,01/01/2022 00:00,92034642207,91768667160
18/09/2023 10:30,FK,2022-01-01,01/01/2022 00:00,324368707329,324713055476
18/09/2023 10:30,FKG,2022-01-01,01/01/2022 00:00,114902282054,114565520116
18/09/2023 10:30,FKH,2022-01-01,01/01/2022 00:00,65379730125,65364735404
18/09/2023 10:30,FKM,2022-01-01,01/01/2022 00:00,83229859935,83159387900
18/09/2023 10:30,FKp,2022-01-01,01/01/2022 00:00,55143692840,54992152212
18/09/2023 10:30,FPK,2022-01-01,01/01/2022 00:00,38110279733,38013724208
18/09/2023 10:30,FPsi,2022-01-01,01/01/2022 00:00,52117936455,52057823708
18/09/2023 10:30,FST,2022-01-01,01/01/2022 00:00,105708767233,106022486160
18/09/2023 10:30,ftmm,2022-01-01,01/01/2022 00:00,59535484519,59383641616
18/09/2023 10:30,PPS,2022-01-01,01/01/2022 00:00,36694791289,36600622292
18/09/2023 10:30,SIKIA,2022-01-01,01/01/2022 00:00,46294631897,46194175144
18/09/2023 10:30,Vokasi,2022-01-01,01/01/2022 00:00,93238792903,93049920876
18/09/2023 10:29,Vokasi Kp Gresik,2022-01-01,01/01/2022 00:00,5204657938,5194985160
18/09/2023 10:29,Vokasi Kp Lamongan,2022-01-01,01/01/2022 00:00,2355710088,2353010008
18/09/2023 10:30,FEB,2023-01-01,01/01/2023 00:00,126638250224,126409035540
18/09/2023 10:30,FF,2023-01-01,01/01/2023 00:00,53480284691,53463169828
18/09/2023 10:30,FH,2023-01-01,01/01/2023 00:00,47377479627,47303333280
18/09/2023 10:30,FIB,2023-01-01,01/01/2023 00:00,31453365638,31359644536
18/09/2023 10:30,FISIP,2023-01-01,01/01/2023 00:00,55221485963,55221188732
18/09/2023 10:30,FK,2023-01-01,01/01/2023 00:00,209998955824,209454108668
18/09/2023 10:30,FKG,2023-01-01,01/01/2023 00:00,64088287725,63971513808
18/09/2023 10:30,FKH,2023-01-01,01/01/2023 00:00,46631175234,46663248012
18/09/2023 10:30,FKM,2023-01-01,01/01/2023 00:00,45077881088,45077881088
18/09/2023 10:30,FKp,2023-01-01,01/01/2023 00:00,39125326112,39083012592
18/09/2023 10:30,FPK,2023-01-01,01/01/2023 00:00,23800063571,23773945896
18/09/2023 10:30,FPsi,2023-01-01,01/01/2023 00:00,32469181439,32438850856
18/09/2023 10:30,FST,2023-01-01,01/01/2023 00:00,69984260557,69902423308
18/09/2023 10:30,ftmm,2023-01-01,01/01/2023 00:00,36873043175,36861322536
18/09/2023 10:30,PPS,2023-01-01,01/01/2023 00:00,23970609235,23942806300
18/09/2023 10:30,SIKIA,2023-01-01,01/01/2023 00:00,26811832077,26747083176
18/09/2023 10:30,Vokasi,2023-01-01,01/01/2023 00:00,64221571757,64136749244
18/09/2023 10:29,Vokasi Kp Gresik,2023-01-01,01/01/2023 00:00,939697342,938158400
18/09/2023 10:29,Vokasi Kp Lamongan,2023-01-01,01/01/2023 00:00,880742685,878594332
